origin_index,origin_utc,horizon_days,window_end_exclusive_utc,magnitude_threshold,primary,numerical_check
7,2007-02-19T00:00:00Z,1,2007-02-20T00:00:00Z,5.5,0,0
7,2007-02-19T00:00:00Z,7,2007-02-26T00:00:00Z,3.5,0,0
7,2007-02-19T00:00:00Z,7,2007-02-26T00:00:00Z,4.5,1,0
7,2007-02-19T00:00:00Z,7,2007-02-26T00:00:00Z,5.5,0,0
7,2007-02-19T00:00:00Z,30,2007-03-21T00:00:00Z,3.5,0,0
7,2007-02-19T00:00:00Z,30,2007-03-21T00:00:00Z,4.5,0,0
7,2007-02-19T00:00:00Z,30,2007-03-21T00:00:00Z,5.5,0,0
8,2007-02-26T00:00:00Z,1,2007-02-27T00:00:00Z,3.5,0,0
8,2007-02-26T00:00:00Z,1,2007-02-27T00:00:00Z,4.5,0,0
8,2007-02-26T00:00:00Z,1,2007-02-27T00:00:00Z,5.5,0,0
8,2007-02-26T00:00:00Z,7,2007-03-05T00:00:00Z,3.5,0,0
8,2007-02-26T00:00:00Z,7,2007-03-05T00:00:00Z,4.5,1,0
8,2007-02-26T00:00:00Z,7,2007-03-05T00:00:00Z,5.5,0,0
8,2007-02-26T00:00:00Z,30,2007-03-28T00:00:00Z,3.5,0,0
8,2007-02-26T00:00:00Z,30,2007-03-28T00:00:00Z,4.5,0,0
8,2007-02-26T00:00:00Z,30,2007-03-28T00:00:00Z,5.5,0,0
9,2007-03-05T00:00:00Z,1,2007-03-06T00:00:00Z,3.5,0,0
9,2007-03-05T00:00:00Z,1,2007-03-06T00:00:00Z,4.5,0,0
9,2007-03-05T00:00:00Z,1,2007-03-06T00:00:00Z,5.5,0,0
9,2007-03-05T00:00:00Z,7,2007-03-12T00:00:00Z,3.5,0,0
9,2007-03-05T00:00:00Z,7,2007-03-12T00:00:00Z,4.5,1,0
9,2007-03-05T00:00:00Z,7,2007-03-12T00:00:00Z,5.5,0,0
9,2007-03-05T00:00:00Z,30,2007-04-04T00:00:00Z,3.5,0,0
9,2007-03-05T00:00:00Z,30,2007-04-04T00:00:00Z,4.5,0,0
9,2007-03-05T00:00:00Z,30,2007-04-04T00:00:00Z,5.5,0,0
10,2007-03-12T00:00:00Z,1,2007-03-13T00:00:00Z,3.5,0,0
10,2007-03-12T00:00:00Z,1,2007-03-13T00:00:00Z,4.5,0,0
10,2007-03-12T00:00:00Z,1,2007-03-13T00:00:00Z,5.5,0,0
10,2007-03-12T00:00:00Z,7,2007-03-19T00:00:00Z,3.5,0,0
10,2007-03-12T00:00:00Z,7,2007-03-19T00:00:00Z,4.5,1,0
10,2007-03-12T00:00:00Z,7,2007-03-19T00:00:00Z,5.5,0,0
10,2007-03-12T00:00:00Z,30,2007-04-11T00:00:00Z,3.5,0,0
10,2007-03-12T00:00:00Z,30,2007-04-11T00:00:00Z,4.5,0,0
10,2007-03-12T00:00:00Z,30,2007-04-11T00:00:00Z,5.5,0,0
11,2007-03-19T00:00:00Z,1,2007-03-20T00:00:00Z,3.5,0,0
11,2007-03-19T00:00:00Z,1,2007-03-20T00:00:00Z,4.5,0,0
11,2007-03-19T00:00:00Z,1,2007-03-20T00:00:00Z,5.5,0,0
11,2007-03-19T00:00:00Z,7,2007-03-26T00:00:00Z,3.5,0,0
11,2007-03-19T00:00:00Z,7,2007-03-26T00:00:00Z,4.5,1,0
11,2007-03-19T00:00:00Z,7,2007-03-26T00:00:00Z,5.5,0,0
11,2007-03-19T00:00:00Z,30,2007-04-18T00:00:00Z,3.5,0,0
11,2007-03-19T00:00:00Z,30,2007-04-18T00:00:00Z,4.5,0,0
11,2007-03-19T00:00:00Z,30,2007-04-18T00:00:00Z,5.5,0,0
12,2007-03-26T00:00:00Z,1,2007-03-27T00:00:00Z,3.5,0,0
12,2007-03-26T00:00:00Z,1,2007-03-27T00:00:00Z,4.5,0,0
12,2007-03-26T00:00:00Z,1,2007-03-27T00:00:00Z,5.5,0,0
12,2007-03-26T00:00:00Z,7,2007-04-02T00:00:00Z,3.5,0,0
12,2007-03-26T00:00:00Z,7,2007-04-02T00:00:00Z,4.5,1,0
12,2007-03-26T00:00:00Z,7,2007-04-02T00:00:00Z,5.5,0,0
12,2007-03-26T00:00:00Z,30,2007-04-25T00:00:00Z,3.5,0,0
12,2007-03-26T00:00:00Z,30,2007-04-25T00:00:00Z,4.5,0,0
12,2007-03-26T00:00:00Z,30,2007-04-25T00:00:00Z,5.5,0,0
13,2007-04-02T00:00:00Z,1,2007-04-03T00:00:00Z,3.5,0,0
13,2007-04-02T00:00:00Z,1,2007-04-03T00:00:00Z,4.5,0,0
13,2007-04-02T00:00:00Z,1,2007-04-03T00:00:00Z,5.5,0,0
13,2007-04-02T00:00:00Z,7,2007-04-09T00:00:00Z,3.5,0,0
13,2007-04-02T00:00:00Z,7,2007-04-09T00:00:00Z,4.5,1,0
13,2007-04-02T00:00:00Z,7,2007-04-09T00:00:00Z,5.5,0,0
13,2007-04-02T00:00:00Z,30,2007-05-02T00:00:00Z,3.5,0,0
13,2007-04-02T00:00:00Z,30,2007-05-02T00:00:00Z,4.5,0,0
13,2007-04-02T00:00:00Z,30,2007-05-02T00:00:00Z,5.5,0,0
14,2007-04-09T00:00:00Z,1,2007-04-10T00:00:00Z,3.5,0,0
14,2007-04-09T00:00:00Z,1,2007-04-10T00:00:00Z,4.5,0,0
14,2007-04-09T00:00:00Z,1,2007-04-10T00:00:00Z,5.5,0,0
14,2007-04-09T00:00:00Z,7,2007-04-16T00:00:00Z,3.5,0,0
14,2007-04-09T00:00:00Z,7,2007-04-16T00:00:00Z,4.5,1,0
14,2007-04-09T00:00:00Z,7,2007-04-16T00:00:00Z,5.5,0,0
14,2007-04-09T00:00:00Z,30,2007-05-09T00:00:00Z,3.5,0,0
14,2007-04-09T00:00:00Z,30,2007-05-09T00:00:00Z,4.5,0,0
14,2007-04-09T00:00:00Z,30,2007-05-09T00:00:00Z,5.5,0,0
15,2007-04-16T00:00:00Z,1,2007-04-17T00:00:00Z,3.5,0,0
15,2007-04-16T00:00:00Z,1,2007-04-17T00:00:00Z,4.5,0,0
15,2007-04-16T00:00:00Z,1,2007-04-17T00:00:00Z,5.5,0,0
15,2007-04-16T00:00:00Z,7,2007-04-23T00:00:00Z,3.5,0,0
15,2007-04-16T00:00:00Z,7,2007-04-23T00:00:00Z,4.5,1,0
15,2007-04-16T00:00:00Z,7,2007-04-23T00:00:00Z,5.5,0,0
15,2007-04-16T00:00:00Z,30,2007-05-16T00:00:00Z,3.5,0,0
15,2007-04-16T00:00:00Z,30,2007-05-16T00:00:00Z,4.5,0,0
15,2007-04-16T00:00:00Z,30,2007-05-16T00:00:00Z,5.5,0,0
16,2007-04-23T00:00:00Z,1,2007-04-24T00:00:00Z,3.5,0,0
16,2007-04-23T00:00:00Z,1,2007-04-24T00:00:00Z,4.5,0,0
16,2007-04-23T00:00:00Z,1,2007-04-24T00:00:00Z,5.5,0,0
16,2007-04-23T00:00:00Z,7,2007-04-30T00:00:00Z,3.5,0,0
16,2007-04-23T00:00:00Z,7,2007-04-30T00:00:00Z,4.5,1,0
16,2007-04-23T00:00:00Z,7,2007-04-30T00:00:00Z,5.5,0,0
16,2007-04-23T00:00:00Z,30,2007-05-23T00:00:00Z,3.5,0,0
16,2007-04-23T00:00:00Z,30,2007-05-23T00:00:00Z,4.5,0,0
16,2007-04-23T00:00:00Z,30,2007-05-23T00:00:00Z,5.5,0,0
17,2007-04-30T00:00:00Z,1,2007-05-01T00:00:00Z,3.5,0,0
17,2007-04-30T00:00:00Z,1,2007-05-01T00:00:00Z,4.5,0,0
17,2007-04-30T00:00:00Z,1,2007-05-01T00:00:00Z,5.5,0,0
17,2007-04-30T00:00:00Z,7,2007-05-07T00:00:00Z,3.5,0,0
17,2007-04-30T00:00:00Z,7,2007-05-07T00:00:00Z,4.5,1,0
17,2007-04-30T00:00:00Z,7,2007-05-07T00:00:00Z,5.5,0,0
17,2007-04-30T00:00:00Z,30,2007-05-30T00:00:00Z,3.5,0,0
17,2007-04-30T00:00:00Z,30,2007-05-30T00:00:00Z,4.5,0,0
17,2007-04-30T00:00:00Z,30,2007-05-30T00:00:00Z,5.5,0,0
18,2007-05-07T00:00:00Z,1,2007-05-08T00:00:00Z,3.5,0,0
18,2007-05-07T00:00:00Z,1,2007-05-08T00:00:00Z,4.5,0,0
18,2007-05-07T00:00:00Z,1,2007-05-08T00:00:00Z,5.5,0,0
18,2007-05-07T00:00:00Z,7,2007-05-14T00:00:00Z,3.5,0,0
18,2007-05-07T00:00:00Z,7,2007-05-14T00:00:00Z,4.5,1,0
18,2007-05-07T00:00:00Z,7,2007-05-14T00:00:00Z,5.5,0,0
18,2007-05-07T00:00:00Z,30,2007-06-06T00:00:00Z,3.5,0,0
18,2007-05-07T00:00:00Z,30,2007-06-06T00:00:00Z,4.5,0,0
18,2007-05-07T00:00:00Z,30,2007-06-06T00:00:00Z,5.5,0,0
19,2007-05-14T00:00:00Z,1,2007-05-15T00:00:00Z,3.5,0,0
19,2007-05-14T00:00:00Z,1,2007-05-15T00:00:00Z,4.5,0,0
19,2007-05-14T00:00:00Z,1,2007-05-15T00:00:00Z,5.5,0,0
19,2007-05-14T00:00:00Z,7,2007-05-21T00:00:00Z,3.5,0,0
19,2007-05-14T00:00:00Z,7,2007-05-21T00:00:00Z,4.5,1,0
19,2007-05-14T00:00:00Z,7,2007-05-21T00:00:00Z,5.5,0,0
19,2007-05-14T00:00:00Z,30,2007-06-13T00:00:00Z,3.5,0,0
19,2007-05-14T00:00:00Z,30,2007-06-13T00:00:00Z,4.5,0,0
19,2007-05-14T00:00:00Z,30,2007-06-13T00:00:00Z,5.5,0,0
20,2007-05-21T00:00:00Z,1,2007-05-22T00:00:00Z,3.5,0,1
20,2007-05-21T00:00:00Z,1,2007-05-22T00:00:00Z,4.5,0,1
20,2007-05-21T00:00:00Z,1,2007-05-22T00:00:00Z,5.5,0,1
20,2007-05-21T00:00:00Z,7,2007-05-28T00:00:00Z,3.5,0,1
20,2007-05-21T00:00:00Z,7,2007-05-28T00:00:00Z,4.5,1,1
20,2007-05-21T00:00:00Z,7,2007-05-28T00:00:00Z,5.5,0,1
20,2007-05-21T00:00:00Z,30,2007-06-20T00:00:00Z,3.5,0,1
20,2007-05-21T00:00:00Z,30,2007-06-20T00:00:00Z,4.5,0,1
20,2007-05-21T00:00:00Z,30,2007-06-20T00:00:00Z,5.5,0,1
21,2007-05-28T00:00:00Z,1,2007-05-29T00:00:00Z,3.5,0,0
21,2007-05-28T00:00:00Z,1,2007-05-29T00:00:00Z,4.5,0,0
21,2007-05-28T00:00:00Z,1,2007-05-29T00:00:00Z,5.5,0,0
21,2007-05-28T00:00:00Z,7,2007-06-04T00:00:00Z,3.5,0,0
21,2007-05-28T00:00:00Z,7,2007-06-04T00:00:00Z,4.5,1,0
21,2007-05-28T00:00:00Z,7,2007-06-04T00:00:00Z,5.5,0,0
21,2007-05-28T00:00:00Z,30,2007-06-27T00:00:00Z,3.5,0,0
21,2007-05-28T00:00:00Z,30,2007-06-27T00:00:00Z,4.5,0,0
21,2007-05-28T00:00:00Z,30,2007-06-27T00:00:00Z,5.5,0,0
22,2007-06-04T00:00:00Z,1,2007-06-05T00:00:00Z,3.5,0,0
22,2007-06-04T00:00:00Z,1,2007-06-05T00:00:00Z,4.5,0,0
22,2007-06-04T00:00:00Z,1,2007-06-05T00:00:00Z,5.5,0,0
22,2007-06-04T00:00:00Z,7,2007-06-11T00:00:00Z,3.5,0,0
22,2007-06-04T00:00:00Z,7,2007-06-11T00:00:00Z,4.5,1,0
22,2007-06-04T00:00:00Z,7,2007-06-11T00:00:00Z,5.5,0,0
22,2007-06-04T00:00:00Z,30,2007-07-04T00:00:00Z,3.5,0,0
22,2007-06-04T00:00:00Z,30,2007-07-04T00:00:00Z,4.5,0,0
22,2007-06-04T00:00:00Z,30,2007-07-04T00:00:00Z,5.5,0,0
23,2007-06-11T00:00:00Z,1,2007-06-12T00:00:00Z,3.5,0,0
23,2007-06-11T00:00:00Z,1,2007-06-12T00:00:00Z,4.5,0,0
23,2007-06-11T00:00:00Z,1,2007-06-12T00:00:00Z,5.5,0,0
23,2007-06-11T00:00:00Z,7,2007-06-18T00:00:00Z,3.5,0,0
23,2007-06-11T00:00:00Z,7,2007-06-18T00:00:00Z,4.5,1,0
23,2007-06-11T00:00:00Z,7,2007-06-18T00:00:00Z,5.5,0,0
23,2007-06-11T00:00:00Z,30,2007-07-11T00:00:00Z,3.5,0,0
23,2007-06-11T00:00:00Z,30,2007-07-11T00:00:00Z,4.5,0,0
23,2007-06-11T00:00:00Z,30,2007-07-11T00:00:00Z,5.5,0,0
24,2007-06-18T00:00:00Z,1,2007-06-19T00:00:00Z,3.5,0,0
24,2007-06-18T00:00:00Z,1,2007-06-19T00:00:00Z,4.5,0,0
24,2007-06-18T00:00:00Z,1,2007-06-19T00:00:00Z,5.5,0,0
24,2007-06-18T00:00:00Z,7,2007-06-25T00:00:00Z,3.5,0,0
